cycle_countBattery_health,SOH
99.53070188,97.66754378
103.6972087,99.96341457
103.6972087,99.54598351
103.6972087,99.44162575
103.6972087,99.33726799
103.6972087,99.23291023
103.6972087,99.12855246
103.6972087,99.0241947
103.6972087,98.91983694
103.6972087,98.81547917
103.6972087,98.71112141
103.6972087,98.60676365
103.6972087,98.50240589
103.6972087,98.39804812
103.6972087,98.29369036
103.6972087,98.1893326
103.6972087,98.08497483
103.6972087,97.98061707
103.6972087,97.87625931
103.6972087,97.77190155
103.6972087,97.66754378
103.6972087,97.56318602
107.8637155,99.96341457
107.8637155,99.44162575
107.8637155,99.33726799
107.8637155,99.23291023
107.8637155,99.12855246
107.8637155,99.0241947
107.8637155,98.91983694
107.8637155,98.81547917
107.8637155,98.71112141
107.8637155,98.60676365
107.8637155,98.50240589
107.8637155,98.39804812
107.8637155,98.29369036
107.8637155,98.1893326
107.8637155,98.08497483
107.8637155,97.98061707
107.8637155,97.87625931
107.8637155,97.77190155
107.8637155,97.66754378
107.8637155,97.56318602
107.8637155,97.45882826
112.0302223,99.33726799
112.0302223,99.23291023
112.0302223,99.12855246
112.0302223,99.0241947
112.0302223,98.91983694
112.0302223,98.81547917
112.0302223,98.71112141
112.0302223,98.60676365
112.0302223,98.50240589
112.0302223,98.39804812
112.0302223,98.29369036
112.0302223,98.1893326
112.0302223,98.08497483
112.0302223,97.98061707
112.0302223,97.87625931
112.0302223,97.77190155
112.0302223,97.66754378
112.0302223,97.56318602
112.0302223,97.45882826
112.0302223,97.35447049
116.1967291,99.33726799
116.1967291,99.23291023
116.1967291,99.12855246
116.1967291,99.0241947
116.1967291,98.91983694
116.1967291,98.81547917
116.1967291,98.71112141
116.1967291,98.60676365
116.1967291,98.50240589
116.1967291,98.39804812
116.1967291,98.29369036
116.1967291,98.1893326
116.1967291,98.08497483
116.1967291,97.98061707
116.1967291,97.87625931
116.1967291,97.77190155
116.1967291,97.66754378
116.1967291,97.56318602
116.1967291,97.45882826
116.1967291,97.35447049
116.1967291,97.25011273
120.3632359,99.23291023
120.3632359,99.12855246
120.3632359,99.0241947
120.3632359,98.91983694
120.3632359,98.81547917
120.3632359,98.71112141
120.3632359,98.60676365
120.3632359,98.50240589
120.3632359,98.39804812
120.3632359,98.29369036
120.3632359,98.1893326
120.3632359,98.08497483
120.3632359,97.98061707
120.3632359,97.87625931
120.3632359,97.77190155
120.3632359,97.66754378
120.3632359,97.56318602
120.3632359,97.45882826
120.3632359,97.35447049
120.3632359,97.25011273
120.3632359,97.14575497
124.5297427,99.23291023
124.5297427,99.12855246
124.5297427,99.0241947
124.5297427,98.91983694
124.5297427,98.81547917
124.5297427,98.71112141
124.5297427,98.60676365
124.5297427,98.50240589
124.5297427,98.39804812
124.5297427,98.29369036
124.5297427,98.1893326
124.5297427,98.08497483
124.5297427,97.98061707
124.5297427,97.87625931
124.5297427,97.77190155
124.5297427,97.66754378
124.5297427,97.56318602
124.5297427,97.45882826
124.5297427,97.35447049
124.5297427,97.25011273
124.5297427,97.14575497
124.5297427,97.04139721
128.6962495,99.12855246
128.6962495,99.0241947
128.6962495,98.91983694
128.6962495,98.81547917
128.6962495,98.71112141
128.6962495,98.60676365
128.6962495,98.50240589
128.6962495,98.39804812
128.6962495,98.29369036
128.6962495,98.1893326
128.6962495,98.08497483
128.6962495,97.98061707
128.6962495,97.87625931
128.6962495,97.77190155
128.6962495,97.66754378
128.6962495,97.56318602
128.6962495,97.45882826
128.6962495,97.35447049
128.6962495,97.25011273
128.6962495,97.14575497
128.6962495,97.04139721
128.6962495,96.93703944
132.8627562,99.0241947
132.8627562,98.91983694
132.8627562,98.81547917
132.8627562,98.71112141
132.8627562,98.60676365
132.8627562,98.50240589
132.8627562,98.39804812
132.8627562,98.29369036
132.8627562,98.1893326
132.8627562,98.08497483
132.8627562,97.98061707
132.8627562,97.87625931
132.8627562,97.77190155
132.8627562,97.66754378
132.8627562,97.56318602
132.8627562,97.45882826
132.8627562,97.35447049
132.8627562,97.25011273
132.8627562,97.14575497
132.8627562,97.04139721
132.8627562,96.93703944
132.8627562,96.83268168
137.029263,99.0241947
137.029263,98.91983694
137.029263,98.81547917
137.029263,98.71112141
137.029263,98.60676365
137.029263,98.50240589
137.029263,98.39804812
137.029263,98.29369036
137.029263,98.1893326
137.029263,98.08497483
137.029263,97.98061707
137.029263,97.87625931
137.029263,97.77190155
137.029263,97.66754378
137.029263,97.56318602
137.029263,97.45882826
137.029263,97.35447049
137.029263,97.25011273
137.029263,97.14575497
137.029263,97.04139721
137.029263,96.93703944
137.029263,96.83268168
137.029263,96.72832392
137.029263,96.62396616
141.1957698,99.0241947
141.1957698,98.91983694
141.1957698,98.81547917
141.1957698,98.71112141
141.1957698,98.60676365
141.1957698,98.50240589
141.1957698,98.39804812
141.1957698,98.29369036
141.1957698,98.1893326
141.1957698,98.08497483
141.1957698,97.98061707
141.1957698,97.87625931
141.1957698,97.77190155
141.1957698,97.66754378
141.1957698,97.56318602
141.1957698,97.45882826
141.1957698,97.35447049
141.1957698,97.25011273
141.1957698,97.14575497
141.1957698,97.04139721
141.1957698,96.93703944
141.1957698,96.83268168
141.1957698,96.72832392
145.3622766,98.91983694
145.3622766,98.81547917
145.3622766,98.71112141
145.3622766,98.60676365
145.3622766,98.50240589
145.3622766,98.39804812
145.3622766,98.29369036
145.3622766,98.1893326
145.3622766,98.08497483
145.3622766,97.98061707
145.3622766,97.87625931
145.3622766,97.77190155
145.3622766,97.66754378
145.3622766,97.56318602
145.3622766,97.45882826
145.3622766,97.35447049
145.3622766,97.25011273
145.3622766,97.14575497
145.3622766,97.04139721
145.3622766,96.93703944
145.3622766,96.83268168
145.3622766,96.72832392
149.5287834,98.91983694
149.5287834,98.81547917
149.5287834,98.71112141
149.5287834,98.60676365
149.5287834,98.50240589
149.5287834,98.39804812
149.5287834,98.29369036
149.5287834,98.1893326
149.5287834,98.08497483
149.5287834,97.98061707
149.5287834,97.87625931
149.5287834,97.77190155
149.5287834,97.66754378
149.5287834,97.56318602
149.5287834,97.45882826
149.5287834,97.35447049
149.5287834,97.25011273
149.5287834,97.14575497
149.5287834,97.04139721
149.5287834,96.93703944
149.5287834,96.83268168
